"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","193.123.199.7","192.168.1.8","UDP","69","8801  >  59480 Len=27"
"2","0.010263","192.168.1.8","193.123.199.7","UDP","1085","59480  >  8801 Len=1043"
"3","0.010361","192.168.1.8","193.123.199.7","UDP","1085","59480  >  8801 Len=1043"
"4","0.010414","192.168.1.8","193.123.199.7","UDP","1085","59480  >  8801 Len=1043"
"5","0.010465","192.168.1.8","193.123.199.7","UDP","146","59479  >  8801 Len=104"
"6","0.030212","193.123.199.7","192.168.1.8","UDP","69","8801  >  59480 Len=27"
"7","0.030397","192.168.1.8","193.123.199.7","UDP","308","59480  >  8801 Len=266"
"8","0.030482","192.168.1.8","193.123.199.7","UDP","1085","59480  >  8801 Len=1043"
"9","0.030559","192.168.1.8","193.123.199.7","UDP","1085","59480  >  8801 Len=1043"
"10","0.030607","192.168.1.8","193.123.199.7","UDP","1085","59480  >  8801 Len=1043"
"11","0.030653","192.168.1.8","193.123.199.7","UDP","1085","59480  >  8801 Len=1043"
"12","0.030698","192.168.1.8","193.123.199.7","UDP","142","59479  >  8801 Len=100"
"13","0.030740","192.168.1.8","193.123.199.7","UDP","1085","59480  >  8801 Len=1043"
"14","0.049437","193.123.199.7","192.168.1.8","UDP","143","8801  >  59479 Len=101"
"15","0.049437","193.123.199.7","192.168.1.8","UDP","150","8801  >  59479 Len=108"
"16","0.049624","192.168.1.8","193.123.199.7","UDP","348","59480  >  8801 Len=306"
"17","0.049729","192.168.1.8","193.123.199.7","UDP","1085","59480  >  8801 Len=1043"
"18","0.049784","192.168.1.8","193.123.199.7","UDP","1085","59480  >  8801 Len=1043"
"19","0.049829","192.168.1.8","193.123.199.7","UDP","141","59479  >  8801 Len=99"
"20","0.057743","193.123.199.7","192.168.1.8","UDP","142","8801  >  59479 Len=100"
"21","0.059749","193.123.199.7","192.168.1.8","UDP","69","8801  >  59480 Len=27"
"22","0.059855","192.168.1.8","193.123.199.7","UDP","1085","59480  >  8801 Len=1043"
"23","0.059936","192.168.1.8","193.123.199.7","UDP","1085","59480  >  8801 Len=1043"
"24","0.059983","192.168.1.8","193.123.199.7","UDP","1085","59480  >  8801 Len=1043"
"25","0.070892","192.168.1.8","193.123.199.7","UDP","1085","59480  >  8801 Len=1043"
