Time,Length
0,120
0.10379,97
0.144868,54
0.428685,503
3.758364,120
3.75849,120
3.758539,120
3.758613,120
3.937638,66
4.118846,97
4.16315,54
4.577872,42
4.579057,42
13.495794,89
13.495794,1137
13.495794,89
13.495863,54
14.038076,120
14.038167,120
14.038196,120
14.038242,120
15.940109,66
16.429275,503
18.156049,97
18.200935,54
18.764097,92
18.764328,92
18.764536,84
18.764578,84
18.764664,64
18.764677,64
18.80403,216
18.94042,66
19.131968,134
19.133407,158
19.133454,134
19.134768,142
19.135099,128
19.136565,132
19.136616,128
19.13817,136
19.139565,128
19.140774,136
19.14153,128
19.142467,136
19.143007,128
19.143935,136
19.174797,84
19.174801,84
19.174859,64
19.174929,64
19.183692,54
19.409458,76
19.414837,240
19.417684,66
19.497107,66
19.497166,54
19.497622,226
19.510742,92
19.515685,92
19.575803,54
19.575803,1466
19.576121,1466
19.576145,54
19.580754,1466
19.581019,715
19.581037,54
19.583286,147
19.659736,328
19.684748,1036
19.760301,89
19.760302,75
19.760421,71
19.760682,79
19.760896,76
19.768934,105
19.769229,91
19.770016,87
19.770016,95
19.77027,168
19.771638,66
19.772688,1392
19.772883,66
19.773009,66
19.773286,66
19.773418,66
19.773518,66
19.793639,66
19.793639,66
19.793735,54
19.793854,54
19.793909,66
19.794003,54
19.794329,571
19.794638,571
19.79489,571
19.801278,54
19.804647,216
19.814856,54
19.814856,54
19.815954,54
19.81846,78
19.824014,1466
19.824014,63
19.82406,54
19.824424,1392
19.824425,1392
19.826029,78
19.830218,83
19.834118,66
19.83419,54
19.83453,571
19.835897,229
19.835976,66
19.836022,54
19.836189,571
19.836614,66
19.837348,66
19.837434,54
19.837596,571
19.838558,66
19.843158,66
19.843227,54
19.843467,233
19.845293,1466
19.845295,1466
19.845335,54
19.846048,297
19.846561,1466
19.84677,54
19.846771,1466
19.846822,1466
19.846823,1011
19.846851,54
19.846957,1466
19.846958,1326
19.846986,54
19.847915,1466
19.847937,54
19.850097,188
19.854183,180
19.854783,1466
19.854786,1466
19.854892,54
19.855347,1010
19.857114,66
19.857174,54
19.857244,312
19.857404,571
19.86116,118
19.862896,118
19.863565,1392
19.86514,118
19.865402,54
19.86565,146
19.865883,146
19.86611,270
19.866173,127
19.866299,349
19.875858,54
19.879468,634
19.879751,85
19.881328,77
19.882244,446
19.882342,634
19.8824,54
19.882574,161
19.882634,54
19.882778,93
19.882778,54
19.882778,634
19.883843,85
19.883869,54
19.884066,93
19.884177,85
19.886129,198
19.886434,167
19.886453,54
19.887796,125
19.890083,66
19.89157,54
19.89291,54
19.895375,1466
19.895457,1466
19.895501,54
19.895873,682
19.897639,54
19.900719,54
19.90073,118
19.900825,54
19.900912,146
19.901316,1466
19.901316,307
19.9037,1424
19.9037,1424
19.903702,813
19.903819,54
19.904645,1424
19.904826,1424
19.904867,54
19.904963,813
19.904963,54
19.906501,1466
19.907788,1466
19.90783,54
19.908147,276
19.909605,78
19.909605,66
19.909667,54
19.909837,288
19.913267,1392
19.913368,147
19.914278,147
19.914949,118
19.915329,70
19.915642,1392
19.915694,358
19.915791,67
19.928058,54
19.929015,344
19.929237,85
19.929237,93
19.929237,853
19.929294,54
19.930359,93
19.933814,634
19.937083,62
19.955532,54
19.962241,1080
19.962293,504
19.962293,113
19.962356,54
19.962525,85
19.967088,1466
19.967137,1466
19.96718,54
19.967572,1466
19.967572,1466
19.967573,1466
19.967573,1466
19.967574,1466
19.967574,605
19.96761,54
19.969781,54
19.973548,85
19.973653,580
19.973697,54
19.973773,54
19.97493,1118
19.975218,105
19.975218,105
19.976251,70
19.976484,297
19.976541,1452
19.976541,868
19.976755,70
19.978455,384
19.979798,254
19.980455,66
20.002882,70
20.015887,54
20.035854,54
20.038275,54
20.040887,325
20.044734,375
20.05425,1424
20.054572,1424
20.054572,1424
20.054573,1424
20.054574,1424
20.054574,1424
20.054688,54
20.055418,1424
20.055418,1424
20.055433,54
20.055807,1424
20.055807,1424
20.055808,1424
20.055808,1424
20.055844,54
20.05767,66
20.057763,54
20.058,235
20.109066,324
20.116984,1424
20.117367,1424
20.117368,1424
20.117369,1424
20.117369,1424
20.11737,1424
20.11737,1424
20.11737,1424
20.117371,1424
20.117371,1424
20.117372,1424
20.117372,906
20.117418,54
20.131522,1466
20.133546,1466
20.133584,54
20.136753,1466
20.136754,1051
20.136803,54
20.13913,147
20.150298,54
20.214292,328
20.218513,1307
20.218658,495
20.240421,1452
20.240422,778
20.261094,92
20.270268,92
20.294179,54
20.303468,54
20.325303,263
20.325303,398
20.325304,54
20.325365,54
20.326306,54
20.377169,1466
20.37717,296
20.377243,54
20.389301,54
20.780836,74
20.793099,90
20.793818,1392
20.805881,216
20.841429,78
20.843786,1392
20.843906,1392
20.844798,78
20.84787,1392
20.848229,1380
20.891329,78
20.894999,1392
20.895398,70
20.920232,62
20.9819,810
20.982995,61
20.982995,254
20.983157,70
21.008381,70
21.21543,1307
21.215577,494
21.253609,67
21.273835,71
21.27895,67
21.283305,160
21.283701,66
21.290014,66
21.290174,54
21.290513,571
21.291886,54
21.295889,54
21.297889,1466
21.297891,1466
21.297892,1326
21.297893,1466
21.297966,54
21.303881,153
21.309942,134
21.310176,146
21.31086,1466
21.310861,1466
21.310862,1228
21.311194,1466
21.311195,1466
21.311195,1129
21.314838,325
21.31582,325
21.315821,124
21.315849,54
21.31599,85
21.325939,1039
21.326515,90
21.326584,90
21.32662,90
21.326654,90
21.326703,90
21.326743,90
21.326784,90
21.326822,90
21.326861,90
21.3269,90
21.326939,90
21.326978,90
21.327016,90
21.338892,54
21.339762,1100
21.339762,1100
21.339793,54
21.340853,1100
21.340854,1466
21.340855,734
21.340855,1100
21.340856,1466
21.340856,1466
21.340857,1414
21.340857,1466
21.340858,1466
21.340858,1466
21.340859,1048
21.340859,1466
21.340859,1466
21.34086,1466
21.340938,54
21.344777,1466
21.344778,1466
21.344779,1466
21.34478,1466
21.34478,1466
21.344823,54
21.346832,1466
21.346833,1466
21.346834,1466
21.346834,1466
21.346835,1466
21.346835,1466
21.346835,1466
21.346836,1466
21.346836,1466
21.346836,1466
21.346836,1466
21.346837,1466
21.346837,1466
21.346838,1466
21.346838,1466
21.346839,1466
21.346839,1466
21.34684,1466
21.34684,1466
21.34684,1466
21.346841,1466
21.346841,1466
21.346903,54
21.346969,1466
21.346969,1466
21.346969,1466
21.34697,1466
21.34697,1466
21.346988,54
21.347557,83
21.347557,83
21.348162,66
21.348301,66
21.348934,1466
21.348934,1466
21.348954,54
21.349922,1466
21.349922,1466
21.349923,1466
21.349924,1466
21.349924,1466
21.349925,1466
21.349925,1466
21.349925,1466
21.349965,54
21.351909,1466
21.351909,1466
21.351925,54
21.352794,1466
21.352794,1466
21.352795,1466
21.352796,1466
21.352796,1466
21.352797,1466
21.352797,1466
21.352797,1466
21.352798,1466
21.352848,54
21.353672,1466
21.353672,1466
21.353682,54
21.354696,1466
21.354697,1466
21.354698,1466
21.354698,1466
21.354698,1466
21.354699,1466
21.3547,1466
21.3547,1466
21.3547,1466
21.354701,1466
21.354701,1466
21.354702,1466
21.354702,1466
21.354703,1466
21.35476,54
21.358694,1466
21.358975,296
21.359008,54
21.362511,898
21.362533,54
21.362595,1100
21.3634,1100
21.363401,1100
21.363401,1466
21.363402,734
21.363402,1466
21.363402,1466
21.363403,368
21.363403,1466
21.363404,1466
21.363404,1414
21.363405,1466
21.363405,734
21.363405,1466
21.363406,1466
21.363406,368
21.363407,1466
21.363504,54
21.364103,1466
21.364104,1466
21.364105,1048
21.364105,1466
21.364106,1466
21.364106,1466
21.364106,1466
21.364107,682
21.364107,1466
21.364108,1466
21.364109,1466
21.364109,1466
21.364109,1466
21.364109,316
21.36411,1466
21.36411,1466
21.36411,1466
21.364111,1466
21.364111,1466
21.364112,1466
21.364112,1466
21.364112,1466
21.364113,1466
21.364113,1466
21.364113,1466
21.364114,212
21.364197,54
21.364769,1466
21.364769,1466
21.36477,1466
21.36477,1466
21.364771,1466
21.364771,1466
21.364772,1466
21.364772,1466
21.364773,1466
21.364773,506
21.364806,54
21.367058,1466
21.367059,1466
21.367088,54
21.367412,1466
21.367413,1466
21.367414,1466
21.367415,1466
21.367415,1466
21.367444,54
21.367867,1466
21.367867,1466
21.367868,1466
21.367869,1466
21.367869,1466
21.36787,1466
21.36787,1466
21.367871,324
21.367871,1466
21.367871,1466
21.367872,1466
21.367872,1466
21.367873,1466
21.367873,1466
21.367873,1466
21.367874,1466
21.367875,1196
21.367941,54
21.368294,1466
21.368295,1466
21.368316,54
21.368772,1466
21.368772,1466
21.368774,1466
21.368774,1466
21.368775,1466
21.368775,1466
21.368776,1466
21.368777,1466
21.368777,1466
21.368831,54
21.369592,1466
21.369593,1466
21.369594,1466
21.369595,1466
21.369595,1466
21.369596,1466
21.369596,1466
21.369597,1466
21.369597,1466
21.369597,1466
21.369598,1466
21.369599,1466
21.369599,1466
21.369599,1466
21.3696,1466
21.3696,1466
21.369601,1466
21.369601,1466
21.369602,1466
21.369602,1466
21.369603,1466
21.369603,1466
21.369603,1466
21.369604,1466
21.369605,1466
21.369605,1466
21.369605,1466
21.369606,1466
21.369606,1466
21.369606,1466
21.369607,1466
21.369608,1466
21.369713,54
21.369906,1466
21.369907,1466
21.369908,1466
21.369908,1466
21.369909,1466
21.369909,1466
21.36991,1466
21.369946,54
21.37196,1466
21.37196,1466
21.371962,1466
21.371962,1466
21.371963,1466
21.371963,1466
21.371964,1466
21.371964,1466
21.371964,1466
21.371965,1466
21.371966,1466
21.371966,1466
21.371967,1466
21.371967,1466
21.371968,1466
21.371969,1466
21.371969,1466
21.371969,1466
21.371971,1466
21.371971,1466
21.371972,1466
21.371972,1466
21.371972,1466
21.371973,1466
21.371974,1466
21.371975,1466
21.371975,1466
21.371975,1466
21.371976,1466
21.371977,1466
21.371977,1466
21.371977,1466
21.37212,54
21.372259,81
21.372351,1466
21.372352,1466
21.372352,1466
21.372352,1466
21.372353,1466
21.372353,1466
21.372354,1466
21.372354,1466
21.372355,1466
21.372356,1466
21.372356,1466
21.372357,1466
21.372357,1466
21.372358,1466
21.372411,54
21.372426,84
21.372712,1466
21.372713,1466
21.372713,1466
21.372714,1466
21.372714,1466
21.372714,1466
21.372715,1466
21.372716,261
21.372746,82
21.372749,54
21.373252,1100
21.373265,54
21.373392,1100
21.374779,1466
21.374779,1466
21.374827,54
21.376366,1466
21.376367,1466
21.376368,1466
21.376368,1466
21.376369,1466
21.376369,1466
21.37637,1466
21.37637,1466
21.376371,1466
21.376371,1466
21.376372,1466
21.376372,1466
21.376373,1466
21.376373,1466
21.376374,1466
21.376374,1466
21.376374,1466
21.376375,1466
21.376375,1466
21.376376,1466
21.376377,1466
21.376377,1466
21.376377,1466
21.376378,1466
21.376378,1466
21.376378,1466
21.376379,1466
21.37638,1466
21.37638,1466
21.37638,1466
21.376383,1466
21.376383,1466
21.376493,54
21.376578,1466
21.376579,1466
21.376579,1466
21.376579,840
21.376594,54
21.379664,144
21.380806,177
21.381228,178
21.388337,1100
21.388385,54
21.388698,1100
21.388699,1100
21.3887,1466
21.388727,54
21.389003,734
21.389003,1466
21.389004,1466
21.389005,368
21.389005,1466
21.389005,1466
21.389006,1414
21.389006,1466
21.389007,1466
21.389007,368
21.389007,1466
21.389008,1466
21.389008,302
21.389062,54
21.39342,1392
21.393899,66
21.39423,66
21.394977,80
21.395013,80
21.395243,84
21.397756,66
21.397819,54
21.398063,571
21.401616,54
21.402623,157
21.402889,1466
21.403277,1466
21.403324,54
21.404623,1068
21.404623,138
21.405522,66
21.409645,1100
21.409648,1100
21.409648,1100
21.409649,1466
21.409649,734
21.40965,1466
21.40965,734
21.409651,1466
21.409652,1466
21.409653,368
21.409728,54
21.410043,180
21.410648,1466
21.410648,1466
21.410649,1414
21.41065,1466
21.41065,1466
21.410651,1466
21.410651,1048
21.410652,1466
21.410652,1466
21.410653,1466
21.410653,1466
21.410654,1466
21.410654,1362
21.410654,1466
21.410655,1466
21.410727,54
21.411603,1466
21.411603,1048
21.411604,1330
21.411646,54
21.412116,66
21.41218,54
21.413579,1100
21.41358,1100
21.413615,54
21.41365,75
21.414557,571
21.414637,1100
21.414638,1466
21.414638,734
21.414639,1466
21.414639,1466
21.414639,368
21.41464,1100
21.41464,1466
21.414641,1466
21.414641,1466
21.414642,1048
21.414642,1466
21.414642,1466
21.414643,1414
21.414643,1466
21.414644,1466
21.414644,1466
21.414645,1048
21.414645,1466
21.414646,1466
21.414646,1466
21.414647,943
21.414647,328
21.414752,54
21.416006,87
21.416153,1100
21.416428,1100
21.416447,54
21.417196,1466
21.417196,734
21.417197,1466
21.417198,713
21.417227,54
21.419683,79
21.420146,90
21.4202,90
21.420236,90
21.420271,90
21.420779,80
21.421095,90
21.421145,90
21.422546,128
21.422546,128
21.423186,90
